<each , {input\big4.txt : 2}{input\big5.txt : 4}{input\big1.txt : 3}{input\big3.txt : 4}>
<elder , {input\big2.txt : 1}>
<emaciated , {input\big2.txt : 1}{input\big.txt : 1}>
<emerged , {input\big2.txt : 1}{input\big1.txt : 2}{input\big3.txt : 2}>
<empress , {input\big2.txt : 1}>
<enabling , {input\big2.txt : 1}>
<entering , {input\big2.txt : 1}>
<especially , {input\big2.txt : 1}{input\big3.txt : 2}{input\big.txt : 3}>
<espied , {input\big2.txt : 1}>
<est , {input\big2.txt : 2}>
<excellency , {input\big2.txt : 3}>
<expecting , {input\big2.txt : 1}>
<experienced , {input\big2.txt : 1}>
<expressing , {input\big2.txt : 1}>
<eagerly , {input\big1.txt : 1}{input\big3.txt : 2}>
<earnestly , {input\big1.txt : 1}{input\big3.txt : 1}>
<earning , {input\big1.txt : 1}{input\big3.txt : 1}>
<eclipses , {input\big1.txt : 1}{input\big3.txt : 1}>
<edges , {input\big1.txt : 1}{input\big3.txt : 1}>
<edgeware , {input\big1.txt : 1}{input\big3.txt : 2}>
<effusive , {input\big1.txt : 1}{input\big3.txt : 1}>
<eg , {input\big1.txt : 1}{input\big3.txt : 1}>
<eglonitz , {input\big1.txt : 1}{input\big3.txt : 1}>
<eglow , {input\big1.txt : 1}{input\big3.txt : 1}>
<egria , {input\big1.txt : 1}{input\big3.txt : 1}>
<elbowed , {input\big1.txt : 1}{input\big3.txt : 1}>
<emotions , {input\big1.txt : 1}{input\big3.txt : 1}>
<employed , {input\big1.txt : 1}{input\big3.txt : 2}{input\big.txt : 3}>
<employing , {input\big1.txt : 1}{input\big3.txt : 1}>
<employs , {input\big1.txt : 1}{input\big3.txt : 1}>
<english , {input\big1.txt : 2}{input\big3.txt : 3}>
<equalled , {input\big1.txt : 1}{input\big3.txt : 1}>
<establishment , {input\big1.txt : 1}{input\big3.txt : 1}>
<european , {input\big1.txt : 1}{input\big3.txt : 1}>
<exactly , {input\big1.txt : 1}{input\big3.txt : 1}>
<exaggerated , {input\big1.txt : 1}{input\big3.txt : 1}>
<exalted , {input\big1.txt : 1}{input\big3.txt : 1}>
<exchange , {input\big1.txt : 1}{input\big3.txt : 1}>
<excitedly , {input\big1.txt : 1}{input\big3.txt : 1}>
<experiences , {input\big1.txt : 1}{input\big3.txt : 1}>
<explained , {input\big1.txt : 1}{input\big3.txt : 1}>
<expostulating , {input\big1.txt : 1}{input\big3.txt : 1}>
<extreme , {input\big1.txt : 1}{input\big3.txt : 2}>
<east , {input\big3.txt : 1}>
<effects , {input\big3.txt : 1}{input\big.txt : 3}>
<effort , {input\big3.txt : 1}>
<eligible , {input\big3.txt : 2}>
<embellish , {input\big3.txt : 1}>
<emerald , {input\big3.txt : 1}>
<employe , {input\big3.txt : 1}>
<encircled , {input\big3.txt : 1}>
<encyclopaedia , {input\big3.txt : 2}>
<entertaining , {input\big3.txt : 1}>
<enthusiasm , {input\big3.txt : 1}>
<entitles , {input\big3.txt : 1}>
<epistle , {input\big3.txt : 1}>
<esq , {input\big3.txt : 1}>
<everyday , {input\big3.txt : 1}>
<excuses , {input\big3.txt : 1}>
<explaining , {input\big3.txt : 1}>
<extra , {input\big3.txt : 1}>
<ezekiah , {input\big3.txt : 2}>
<effected , {input\big.txt : 1}>
<elicited , {input\big.txt : 1}>
<eliminated , {input\big.txt : 1}>
<eliminating , {input\big.txt : 1}>
<emboli , {input\big.txt : 1}>
<emigration , {input\big.txt : 1}>
<emphysema , {input\big.txt : 1}>
<empyema , {input\big.txt : 2}>
<endanger , {input\big.txt : 2}>
<enlargement , {input\big.txt : 1}>
<entire , {input\big.txt : 1}>
<entrance , {input\big.txt : 1}>
<epidermis , {input\big.txt : 1}>
<eradicated , {input\big.txt : 1}>
<eradicating , {input\big.txt : 1}>
<erosion , {input\big.txt : 1}>
<errors , {input\big.txt : 1}>
<eruptions , {input\big.txt : 1}>
<escapes , {input\big.txt : 1}>
<eusol , {input\big.txt : 3}>
<exceed , {input\big.txt : 1}>
<excessive , {input\big.txt : 1}>
<excise , {input\big.txt : 1}>
<excised , {input\big.txt : 1}>
<exhausted , {input\big.txt : 1}>
<exit , {input\big.txt : 2}>
<extend , {input\big.txt : 1}>
<extends , {input\big.txt : 1}>
<extension , {input\big.txt : 1}>
<externally , {input\big.txt : 1}>
