<gain , {input\big4.txt : 1}{input\big3.txt : 2}>
<gladstone , {input\big5.txt : 1}>
<glaring , {input\big5.txt : 1}>
<glasses , {input\big5.txt : 1}>
<glints , {input\big5.txt : 1}>
<globe , {input\big5.txt : 1}>
<glove , {input\big5.txt : 1}>
<gods , {input\big5.txt : 1}{input\big2.txt : 6}>
<goodge , {input\big5.txt : 2}>
<goodness , {input\big5.txt : 2}>
<goose , {input\big5.txt : 26}>
<gown , {input\big5.txt : 2}>
<grain , {input\big5.txt : 1}{input\big2.txt : 12}>
<grating , {input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}{input\big.txt : 2}>
<gravity , {input\big5.txt : 1}{input\big.txt : 1}>
<greasy , {input\big5.txt : 1}>
<greeting , {input\big5.txt : 1}{input\big3.txt : 2}>
<grime , {input\big5.txt : 1}>
<grimesby , {input\big5.txt : 1}>
<grimly , {input\big5.txt : 1}>
<grin , {input\big5.txt : 1}>
<gritty , {input\big5.txt : 1}>
<groaned , {input\big5.txt : 1}>
<grounds , {input\big5.txt : 1}>
<guide , {input\big5.txt : 1}{input\big3.txt : 1}>
<guilt; , {input\big5.txt : 1}>
<gullet , {input\big5.txt : 1}>
<gulp , {input\big5.txt : 1}>
<guttering , {input\big5.txt : 1}>
<gallop , {input\big2.txt : 1}>
<galloping , {input\big2.txt : 1}>
<gazing , {input\big2.txt : 1}>
<gentleness , {input\big2.txt : 1}>
<gingerbread , {input\big2.txt : 1}>
<girls , {input\big2.txt : 1}>
<grand , {input\big2.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<grasp , {input\big2.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<grassland , {input\big2.txt : 1}>
<gratitude , {input\big2.txt : 2}>
<grave , {input\big2.txt : 1}{input\big.txt : 2}>
<gray , {input\big2.txt : 1}>
<greatly , {input\big2.txt : 1}>
<grief , {input\big2.txt : 3}>
<groaning , {input\big2.txt : 1}>
<grudge , {input\big2.txt : 2}>
<gasogene , {input\big1.txt : 1}{input\big3.txt : 1}>
<gazetteer , {input\big1.txt : 1}{input\big3.txt : 1}>
<gentlemans , {input\big1.txt : 1}{input\big3.txt : 1}>
<german , {input\big1.txt : 6}{input\big3.txt : 6}>
<gesellschaft , {input\big1.txt : 1}{input\big3.txt : 1}>
<gesture , {input\big1.txt : 1}{input\big3.txt : 1}>
<getting , {input\big1.txt : 2}{input\big3.txt : 3}>
<gibe , {input\big1.txt : 1}{input\big3.txt : 1}>
<gigantic , {input\big1.txt : 1}{input\big3.txt : 1}>
<gleam , {input\big1.txt : 1}{input\big3.txt : 1}>
<glimpse , {input\big1.txt : 1}{input\big3.txt : 3}>
<glimpses , {input\big1.txt : 1}{input\big3.txt : 1}>
<godfrey , {input\big1.txt : 5}{input\big3.txt : 5}>
<gottsreich , {input\big1.txt : 1}{input\big3.txt : 1}>
<grim , {input\big1.txt : 1}{input\big3.txt : 1}>
<grinder , {input\big1.txt : 2}{input\big3.txt : 2}>
<grit , {input\big1.txt : 1}{input\big3.txt : 1}>
<gross , {input\big1.txt : 1}{input\big3.txt : 1}>
<group , {input\big1.txt : 1}{input\big3.txt : 1}>
<grow , {input\big1.txt : 1}{input\big3.txt : 1}>
<guardianship , {input\big1.txt : 1}{input\big3.txt : 1}>
<guardsmen , {input\big1.txt : 3}{input\big3.txt : 3}>
<guess , {input\big1.txt : 1}{input\big3.txt : 1}>
<guinea , {input\big1.txt : 1}{input\big3.txt : 1}>
<guineas , {input\big1.txt : 1}{input\big3.txt : 1}>
<gaze , {input\big3.txt : 1}>
<gets , {input\big3.txt : 1}>
<gospel , {input\big3.txt : 1}>
<grabs , {input\big3.txt : 1}>
<grasping , {input\big3.txt : 1}>
<greatcoat , {input\big3.txt : 1}>
<groan , {input\big3.txt : 1}>
<guessed , {input\big3.txt : 1}>
<gangrene , {input\big.txt : 2}>
<gases , {input\big.txt : 1}>
<gauze , {input\big.txt : 3}>
<gentle , {input\big.txt : 1}>
<glands , {input\big.txt : 4}>
<glycerine , {input\big.txt : 1}>
<gradual , {input\big.txt : 1}>
<gradually , {input\big.txt : 1}>
<granulation , {input\big.txt : 1}>
<granulations , {input\big.txt : 3}>
<groin , {input\big.txt : 1}>
<grumous , {input\big.txt : 1}>
<guides , {input\big.txt : 1}>
