<10 , {input\big.txt : 3}>
<incomplete , {input\big.txt : 1}>
<increased , {input\big.txt : 3}>
<increases , {input\big.txt : 1}>
<increasing , {input\big.txt : 1}>
<incubation , {input\big.txt : 1}>
<indicate , {input\big.txt : 1}>
<indicated , {input\big.txt : 2}>
<indicates , {input\big.txt : 1}>
<indication , {input\big.txt : 1}>
<induce , {input\big.txt : 2}>
<inducing , {input\big.txt : 3}>
<infected , {input\big.txt : 8}>
<infection , {input\big.txt : 20}>
<infective , {input\big.txt : 3}>
<infiltrates , {input\big.txt : 1}>
<inflamed , {input\big.txt : 1}>
<inflammation , {input\big.txt : 6}>
<inflammatory , {input\big.txt : 1}>
<inguinal , {input\big.txt : 1}>
<initial , {input\big.txt : 1}>
<injection , {input\big.txt : 1}>
<injury , {input\big.txt : 1}>
<inner , {input\big.txt : 1}>
<inoculation , {input\big.txt : 1}>
<insert , {input\big.txt : 1}>
<inserted , {input\big.txt : 2}>
<insignificant , {input\big.txt : 1}>
<instances , {input\big.txt : 1}>
<integument , {input\big.txt : 2}>
<intense , {input\big.txt : 1}>
<intercarpal , {input\big.txt : 1}>
<interfere , {input\big.txt : 3}>
<interfering , {input\big.txt : 1}>
<intermuscular , {input\big.txt : 1}>
<interphalangeal , {input\big.txt : 1}>
<intervals , {input\big.txt : 1}>
<intestinal , {input\big.txt : 2}>
<intestines , {input\big.txt : 1}>
<into , {input\big.txt : 9}>
<intoxication , {input\big.txt : 1}>
<introduced , {input\big.txt : 1}>
<introduction , {input\big.txt : 2}>
<invade , {input\big.txt : 1}>
<invaded , {input\big.txt : 2}>
<invading , {input\big.txt : 1}>
<involuntary , {input\big.txt : 1}>
<involved , {input\big.txt : 3}>
<involvement , {input\big.txt : 1}>
<iodoform , {input\big.txt : 4}>
<irregular , {input\big.txt : 1}>
<irrigation , {input\big.txt : 1}>
<is , {input\big.txt : 130}>
<it , {input\big.txt : 45}>
<its , {input\big.txt : 7}>
<itself , {input\big.txt : 1}>
<jaundice , {input\big.txt : 1}>
<jaw , {input\big.txt : 1}>
<joint , {input\big.txt : 5}>
<joints , {input\big.txt : 6}>
<keeping , {input\big.txt : 1}>
<kept , {input\big.txt : 1}>
<kidneys , {input\big.txt : 2}>
<klapps , {input\big.txt : 1}>
<knee , {input\big.txt : 2}>
<knocked , {input\big.txt : 1}>
<laboured , {input\big.txt : 1}>
<labouring , {input\big.txt : 1}>
<lacrymal , {input\big.txt : 1}>
<large , {input\big.txt : 2}>
<lasts , {input\big.txt : 1}>
<lateral , {input\big.txt : 1}>
<latter , {input\big.txt : 1}>
<lead , {input\big.txt : 2}>
<leading , {input\big.txt : 1}>
<leads , {input\big.txt : 1}>
<least , {input\big.txt : 2}>
<leaves , {input\big.txt : 1}>
<led , {input\big.txt : 1}>
<lesion , {input\big.txt : 2}>
<less , {input\big.txt : 3}>
<lest , {input\big.txt : 1}>
<let , {input\big.txt : 1}>
<leucocytes , {input\big.txt : 1}>
<leucocytosis , {input\big.txt : 2}>
<level , {input\big.txt : 1}>
<life , {input\big.txt : 1}>
<ligament , {input\big.txt : 2}>
<ligaments , {input\big.txt : 1}>
<ligature , {input\big.txt : 1}>
<light , {input\big.txt : 1}>
<likely , {input\big.txt : 4}>
<limb , {input\big.txt : 2}>
<limbs , {input\big.txt : 2}>
<limited , {input\big.txt : 1}>
<line , {input\big.txt : 3}>
<lined , {input\big.txt : 1}>
<lines , {input\big.txt : 3}>
<lining , {input\big.txt : 1}>
<little , {input\big.txt : 3}>
<liver , {input\big.txt : 2}>
<livid , {input\big.txt : 1}>
<loaded , {input\big.txt : 1}>
<local , {input\big.txt : 8}>
<long , {input\big.txt : 4}>
<loose , {input\big.txt : 1}>
<lost , {input\big.txt : 1}>
<lotion , {input\big.txt : 2}>
<lotions , {input\big.txt : 1}>
<low , {input\big.txt : 3}>
<lower , {input\big.txt : 2}>
<lungs , {input\big.txt : 1}>
<lymph , {input\big.txt : 4}>
<lymphadenitis , {input\big.txt : 1}>
<lymphangitis , {input\big.txt : 2}>
<lymphatic , {input\big.txt : 1}>
<lymphatics , {input\big.txt : 3}>
<made , {input\big.txt : 9}>
<main , {input\big.txt : 2}>
<majority , {input\big.txt : 1}>
<make , {input\big.txt : 1}>
<making , {input\big.txt : 3}>
<malpighii , {input\big.txt : 1}>
<manifest , {input\big.txt : 2}>
<manifestation , {input\big.txt : 1}>
<manifestations , {input\big.txt : 3}>
<manifests , {input\big.txt : 1}>
<many , {input\big.txt : 1}>
<marked , {input\big.txt : 5}>
<markedly , {input\big.txt : 2}>
<marrow , {input\big.txt : 1}>
<mass , {input\big.txt : 1}>
<massage , {input\big.txt : 2}>
<masses , {input\big.txt : 1}>
<mastoid , {input\big.txt : 1}>
<material , {input\big.txt : 5}>
<matter , {input\big.txt : 1}>
<may , {input\big.txt : 44}>
<means , {input\big.txt : 3}>
<measles , {input\big.txt : 1}>
<measures , {input\big.txt : 2}>
<mechanical , {input\big.txt : 1}>
<mechanically , {input\big.txt : 1}>
<meckels , {input\big.txt : 1}>
<membranes , {input\big.txt : 1}>
<membranes; , {input\big.txt : 1}>
<men , {input\big.txt : 1}>
<mental , {input\big.txt : 1}>
<merely , {input\big.txt : 1}>
<merge , {input\big.txt : 2}>
<meshes , {input\big.txt : 1}>
<met , {input\big.txt : 6}>
<metacarpal , {input\big.txt : 1}>
<method , {input\big.txt : 5}>
<middle , {input\big.txt : 1}>
<mild , {input\big.txt : 1}>
<mobility , {input\big.txt : 1}>
<moderate , {input\big.txt : 1}>
<moderately , {input\big.txt : 1}>
<moist , {input\big.txt : 3}>
<more , {input\big.txt : 6}>
<morning , {input\big.txt : 2}>
<morphin , {input\big.txt : 1}>
<most , {input\big.txt : 7}>
<mouth , {input\big.txt : 1}>
<movement , {input\big.txt : 2}>
<movements , {input\big.txt : 2}>
<moving , {input\big.txt : 1}>
<mucous , {input\big.txt : 6}>
<muscle , {input\big.txt : 2}>
<muscles , {input\big.txt : 1}>
<must , {input\big.txt : 5}>
<muttering , {input\big.txt : 1}>
<nail , {input\big.txt : 13}>
<name , {input\big.txt : 1}>
<natural , {input\big.txt : 1}>
<nature , {input\big.txt : 3}>
<near , {input\big.txt : 3}>
<necessary , {input\big.txt : 7}>
<neck , {input\big.txt : 4}>
<necrosed , {input\big.txt : 1}>
<necrosis , {input\big.txt : 1}>
<nerves , {input\big.txt : 2}>
<neutralising , {input\big.txt : 1}>
<night , {input\big.txt : 2}>
<no , {input\big.txt : 4}>
<normal , {input\big.txt : 1}>
<nose , {input\big.txt : 1}>
<not , {input\big.txt : 12}>
<notably , {input\big.txt : 1}>
<numbers , {input\big.txt : 1}>
<obliterated , {input\big.txt : 1}>
<obstacle , {input\big.txt : 1}>
<occasionally , {input\big.txt : 1}>
<occupation , {input\big.txt : 1}>
<occur , {input\big.txt : 5}>
<occurrence , {input\big.txt : 2}>
<occurs , {input\big.txt : 4}>
<oedema , {input\big.txt : 3}>
<oedematous , {input\big.txt : 1}>
<of , {input\big.txt : 232}>
<off , {input\big.txt : 2}>
<offers , {input\big.txt : 1}>
<often , {input\big.txt : 12}>
<olecranon , {input\big.txt : 2}>
<omen , {input\big.txt : 1}>
<on , {input\big.txt : 28}>
<one , {input\big.txt : 8}>
<only , {input\big.txt : 6}>
<onset , {input\big.txt : 2}>
<open , {input\big.txt : 4}>
<opened , {input\big.txt : 3}>
<opening , {input\big.txt : 4}>
<openings , {input\big.txt : 1}>
<operation , {input\big.txt : 3}>
<operations , {input\big.txt : 1}>
<or , {input\big.txt : 73}>
<orbit , {input\big.txt : 1}>
<organism , {input\big.txt : 1}>
<organisms , {input\big.txt : 4}>
<organs , {input\big.txt : 3}>
<origin , {input\big.txt : 1}>
<original , {input\big.txt : 1}>
<originate , {input\big.txt : 2}>
<originated , {input\big.txt : 1}>
<osteomyelitis , {input\big.txt : 1}>
<other , {input\big.txt : 11}>
<our , {input\big.txt : 1}>
<out , {input\big.txt : 9}>
<outlook , {input\big.txt : 1}>
<over , {input\big.txt : 5}>
<owing , {input\big.txt : 1}>
<packed , {input\big.txt : 1}>
<packing , {input\big.txt : 1}>
<pain , {input\big.txt : 8}>
<painful , {input\big.txt : 1}>
<pale , {input\big.txt : 1}>
<palm , {input\big.txt : 7}>
<part , {input\big.txt : 7}>
<particularly , {input\big.txt : 1}>
<parts , {input\big.txt : 1}>
<passage , {input\big.txt : 1}>
<passed , {input\big.txt : 1}>
<passes , {input\big.txt : 1}>
<passing , {input\big.txt : 1}>
<passive , {input\big.txt : 6}>
<paste , {input\big.txt : 1}>
<patches , {input\big.txt : 1}>
<path , {input\big.txt : 1}>
<patient , {input\big.txt : 9}>
<patient; , {input\big.txt : 1}>
<patients , {input\big.txt : 1}>
<pectoral , {input\big.txt : 1}>
<peculiar , {input\big.txt : 1}>
<pelvis , {input\big.txt : 1}>
<perineum , {input\big.txt : 2}>
<period , {input\big.txt : 2}>
<periosteum , {input\big.txt : 1}>
<peritonitis , {input\big.txt : 2}>
<peroxide , {input\big.txt : 2}>
