<1858 , {input\big1.txt : 1}>
<book , {input\big1.txt : 1}>
<books , {input\big1.txt : 1}>
<boot , {input\big1.txt : 1}>
<boots , {input\big1.txt : 1}>
<bore , {input\big1.txt : 1}>
<born , {input\big1.txt : 1}>
<boswell , {input\big1.txt : 1}>
<both , {input\big1.txt : 4}>
<bought , {input\big1.txt : 3}>
<boy , {input\big1.txt : 1}>
<breaking , {input\big1.txt : 1}>
<breasted , {input\big1.txt : 1}>
<bride , {input\big1.txt : 1}>
<bridegroom , {input\big1.txt : 1}>
<briefly , {input\big1.txt : 1}>
<brilliantly , {input\big1.txt : 1}>
<brimmed , {input\big1.txt : 1}>
<bring , {input\big1.txt : 1}>
<briony , {input\big1.txt : 8}>
<broad , {input\big1.txt : 3}>
<broke , {input\big1.txt : 1}>
<brooch , {input\big1.txt : 1}>
<brothers , {input\big1.txt : 1}>
<brougham , {input\big1.txt : 2}>
<brought , {input\big1.txt : 2}>
<brown , {input\big1.txt : 2}>
<brushed , {input\big1.txt : 1}>
<buckles , {input\big1.txt : 1}>
<built , {input\big1.txt : 1}>
<bulge , {input\big1.txt : 1}>
<burglars , {input\big1.txt : 1}>
<burgled , {input\big1.txt : 1}>
<buried , {input\big1.txt : 1}>
<burned , {input\big1.txt : 1}>
<busier , {input\big1.txt : 1}>
<business , {input\big1.txt : 2}>
<busy , {input\big1.txt : 1}>
<but , {input\big1.txt : 39}>
<buttoned , {input\big1.txt : 1}>
<by , {input\big1.txt : 23}>
<cab , {input\big1.txt : 4}>
<cabby , {input\big1.txt : 1}>
<cabinet , {input\big1.txt : 2}>
<cabman , {input\big1.txt : 2}>
<call , {input\big1.txt : 4}>
<called , {input\big1.txt : 1}>
<calls , {input\big1.txt : 1}>
<calves , {input\big1.txt : 1}>
<came , {input\big1.txt : 6}>
<campaign , {input\big1.txt : 1}>
<can , {input\big1.txt : 4}>
<cant , {input\big1.txt : 2}>
<cap , {input\big1.txt : 1}>
<capable , {input\big1.txt : 1}>
<capital , {input\big1.txt : 1}>
<carefully , {input\big1.txt : 1}>
<careless , {input\big1.txt : 1}>
<carelessly , {input\big1.txt : 1}>
<carlsbad , {input\big1.txt : 1}>
<carriage , {input\big1.txt : 3}>
<carried , {input\big1.txt : 1}>
<carries , {input\big1.txt : 1}>
<carry , {input\big1.txt : 2}>
<carte , {input\big1.txt : 1}>
<case , {input\big1.txt : 7}>
<cases , {input\big1.txt : 1}>
<cassel , {input\big1.txt : 1}>
<catch , {input\big1.txt : 1}>
<caught , {input\big1.txt : 2}>
<cause , {input\big1.txt : 2}>
<caused , {input\big1.txt : 1}>
<ceased , {input\big1.txt : 1}>
<centre , {input\big1.txt : 1}>
<centred , {input\big1.txt : 1}>
<centuries , {input\big1.txt : 1}>
<certain , {input\big1.txt : 1}>
<certainly , {input\big1.txt : 2}>
<certificates , {input\big1.txt : 1}>
<chain , {input\big1.txt : 1}>
<chair , {input\big1.txt : 3}>
<chamber , {input\big1.txt : 2}>
<chambers , {input\big1.txt : 1}>
<chamois , {input\big1.txt : 1}>
<chance , {input\big1.txt : 1}>
<chances , {input\big1.txt : 1}>
<changed , {input\big1.txt : 2}>
<character , {input\big1.txt : 4}>
<chat , {input\big1.txt : 1}>
<cheekbones , {input\big1.txt : 1}>
<chest , {input\big1.txt : 2}>
<child , {input\big1.txt : 1}>
<chin , {input\big1.txt : 1}>
<choked , {input\big1.txt : 1}>
<chronicle , {input\big1.txt : 1}>
<chubb , {input\big1.txt : 1}>
<chuckled , {input\big1.txt : 1}>
<church , {input\big1.txt : 6}>
<cigar , {input\big1.txt : 1}>
<cigarette , {input\big1.txt : 2}>
<cigars , {input\big1.txt : 2}>
<circumstances , {input\big1.txt : 1}>
<civil , {input\big1.txt : 1}>
<clasped , {input\big1.txt : 1}>
<clear , {input\big1.txt : 4}>
<clearing , {input\big1.txt : 2}>
<clergyman , {input\big1.txt : 4}>
<client , {input\big1.txt : 5}>
<cloak , {input\big1.txt : 2}>
<close , {input\big1.txt : 2}>
<closely , {input\big1.txt : 2}>
<closing , {input\big1.txt : 1}>
<clothes , {input\big1.txt : 2}>
<clotilde , {input\big1.txt : 1}>
<cloud , {input\big1.txt : 1}>
<clues , {input\big1.txt : 1}>
<clumsy , {input\big1.txt : 1}>
<co , {input\big1.txt : 2}>
<coach , {input\big1.txt : 1}>
<coachman , {input\big1.txt : 1}>
<coat , {input\big1.txt : 2}>
<cocaine , {input\big1.txt : 1}>
<cold , {input\big1.txt : 2}>
<colleague , {input\big1.txt : 1}>
<coloured , {input\big1.txt : 1}>
<come , {input\big1.txt : 7}>
<comes , {input\big1.txt : 2}>
<coming , {input\big1.txt : 2}>
<commander , {input\big1.txt : 1}>
<committed , {input\big1.txt : 1}>
<communicate , {input\big1.txt : 1}>
<companion , {input\big1.txt : 1}>
<companions , {input\big1.txt : 1}>
<company , {input\big1.txt : 1}>
<compelled , {input\big1.txt : 1}>
<complete , {input\big1.txt : 1}>
<completed , {input\big1.txt : 1}>
<compromise , {input\big1.txt : 1}>
<compromised , {input\big1.txt : 1}>
<compromising , {input\big1.txt : 1}>
<conceal , {input\big1.txt : 1}>
<concealment , {input\big1.txt : 1}>
<concerning , {input\big1.txt : 1}>
<concerts , {input\big1.txt : 1}>
<condescend , {input\big1.txt : 1}>
<conduct , {input\big1.txt : 1}>
<confess , {input\big1.txt : 1}>
<confidant , {input\big1.txt : 1}>
<confide , {input\big1.txt : 1}>
<confined , {input\big1.txt : 1}>
<consisted , {input\big1.txt : 1}>
<construction , {input\big1.txt : 1}>
<consult , {input\big1.txt : 2}>
<consulting , {input\big1.txt : 1}>
<continental , {input\big1.txt : 1}>
<continue , {input\big1.txt : 1}>
<continued , {input\big1.txt : 2}>
<contraction , {input\big1.txt : 1}>
<contralto , {input\big1.txt : 1}>
<contrary , {input\big1.txt : 1}>
<conveyed , {input\big1.txt : 1}>
<copper , {input\big1.txt : 1}>
<corner , {input\big1.txt : 4}>
<costume , {input\big1.txt : 1}>
<could , {input\big1.txt : 18}>
<count , {input\big1.txt : 3}>
<country , {input\big1.txt : 2}>
<course , {input\big1.txt : 3}>
<crack , {input\big1.txt : 1}>
<created , {input\big1.txt : 1}>
<cried , {input\big1.txt : 3}>
<cried; , {input\big1.txt : 1}>
<crime , {input\big1.txt : 2}>
<crimes , {input\big1.txt : 1}>
<crowd , {input\big1.txt : 1}>
<crowded , {input\big1.txt : 1}>
<crown , {input\big1.txt : 2}>
<crusted , {input\big1.txt : 1}>
<cry , {input\big1.txt : 4}>
<curb , {input\big1.txt : 1}>
<curiosity , {input\big1.txt : 1}>
<curve , {input\big1.txt : 1}>
<customary , {input\big1.txt : 1}>
<cuts , {input\big1.txt : 1}>
<daily , {input\big1.txt : 1}>
<daintiest , {input\big1.txt : 1}>
<dark , {input\big1.txt : 4}>
<dashed , {input\big1.txt : 2}>
<dashing , {input\big1.txt : 1}>
<data , {input\big1.txt : 2}>
<daughter , {input\big1.txt : 1}>
<day , {input\big1.txt : 3}>
<days , {input\big1.txt : 2}>
<deal , {input\big1.txt : 1}>
<dear , {input\big1.txt : 2}>
<death , {input\big1.txt : 1}>
<deduce , {input\big1.txt : 3}>
<deduction , {input\big1.txt : 2}>
<deep , {input\big1.txt : 3}>
<deepest , {input\big1.txt : 1}>
<deeply , {input\big1.txt : 2}>
<delicacy , {input\big1.txt : 2}>
<delicate , {input\big1.txt : 3}>
<delicately , {input\big1.txt : 1}>
<delighted , {input\big1.txt : 1}>
<departure , {input\big1.txt : 1}>
<depended , {input\big1.txt : 1}>
<depicted , {input\big1.txt : 1}>
<description , {input\big1.txt : 1}>
<desire , {input\big1.txt : 2}>
<desires , {input\big1.txt : 1}>
<desirous , {input\big1.txt : 1}>
<desperation , {input\big1.txt : 1}>
<details , {input\big1.txt : 1}>
<devil , {input\big1.txt : 1}>
<did , {input\big1.txt : 3}>
<die , {input\big1.txt : 1}>
<different , {input\big1.txt : 1}>
<difficult , {input\big1.txt : 1}>
<difficulties , {input\big1.txt : 1}>
<dinner , {input\big1.txt : 1}>
<direction , {input\big1.txt : 1}>
<directions , {input\big1.txt : 1}>
<disappeared , {input\big1.txt : 1}>
<discover , {input\big1.txt : 1}>
<discretion , {input\big1.txt : 1}>
<discuss , {input\big1.txt : 1}>
<disentangled , {input\big1.txt : 1}>
<disguises , {input\big1.txt : 1}>
<disreputable , {input\big1.txt : 1}>
<distinction , {input\big1.txt : 1}>
<distracting , {input\big1.txt : 1}>
<disturbing , {input\big1.txt : 1}>
<diverted , {input\big1.txt : 1}>
<do , {input\big1.txt : 23}>
<docketing , {input\big1.txt : 1}>
<doctor , {input\big1.txt : 4}>
<does , {input\big1.txt : 2}>
<doing , {input\big1.txt : 2}>
<doings: , {input\big1.txt : 1}>
<done , {input\big1.txt : 1}>
<donna , {input\big1.txt : 1}>
<dont , {input\big1.txt : 3}>
<door , {input\big1.txt : 10}>
<double , {input\big1.txt : 4}>
<doubt , {input\big1.txt : 4}>
<doubt; , {input\big1.txt : 1}>
<doubts , {input\big1.txt : 1}>
<down , {input\big1.txt : 18}>
<dozen , {input\big1.txt : 2}>
<dr , {input\big1.txt : 1}>
<dragged , {input\big1.txt : 1}>
<drawing , {input\big1.txt : 1}>
<dreadful , {input\big1.txt : 1}>
<dreams , {input\big1.txt : 1}>
<dress , {input\big1.txt : 2}>
<dressed , {input\big1.txt : 3}>
<drifted , {input\big1.txt : 1}>
<drive , {input\big1.txt : 3}>
<driven , {input\big1.txt : 1}>
<driver , {input\big1.txt : 1}>
<drives , {input\big1.txt : 1}>
<driving , {input\big1.txt : 1}>
<drop , {input\big1.txt : 1}>
<dropped , {input\big1.txt : 2}>
<drove , {input\big1.txt : 4}>
<drowsiness , {input\big1.txt : 1}>
<drug , {input\big1.txt : 2}>
<drunken , {input\big1.txt : 1}>
<dryly , {input\big1.txt : 1}>
<dubious , {input\big1.txt : 1}>
<duke , {input\big1.txt : 1}>
<dull , {input\big1.txt : 1}>
<during , {input\big1.txt : 1}>
<dusk , {input\big1.txt : 1}>
<each , {input\big1.txt : 3}>
<eagerly , {input\big1.txt : 1}>
<ear , {input\big1.txt : 2}>
<earnestly , {input\big1.txt : 1}>
<earning , {input\big1.txt : 1}>
<ease , {input\big1.txt : 1}>
<easily , {input\big1.txt : 1}>
<easy , {input\big1.txt : 1}>
<eat , {input\big1.txt : 1}>
<eclipses , {input\big1.txt : 1}>
<edged , {input\big1.txt : 1}>
<edges , {input\big1.txt : 1}>
<edgeware , {input\big1.txt : 1}>
<effusive , {input\big1.txt : 1}>
<eg , {input\big1.txt : 1}>
<eglonitz , {input\big1.txt : 1}>
<eglow , {input\big1.txt : 1}>
<egria , {input\big1.txt : 1}>
<eight , {input\big1.txt : 3}>
<either , {input\big1.txt : 2}>
<elbowed , {input\big1.txt : 1}>
<else , {input\big1.txt : 3}>
<emerged , {input\big1.txt : 2}>
<emotion , {input\big1.txt : 2}>
<emotions , {input\big1.txt : 1}>
<employed , {input\big1.txt : 1}>
<employing , {input\big1.txt : 1}>
<employs , {input\big1.txt : 1}>
<end , {input\big1.txt : 5}>
<endeavouring , {input\big1.txt : 1}>
<ended , {input\big1.txt : 1}>
<energetic , {input\big1.txt : 2}>
<energy , {input\big1.txt : 1}>
<england , {input\big1.txt : 1}>
<english , {input\big1.txt : 2}>
<enough , {input\big1.txt : 4}>
<entangled , {input\big1.txt : 1}>
<enter , {input\big1.txt : 1}>
<entered , {input\big1.txt : 2}>
<entirely , {input\big1.txt : 2}>
<equalled , {input\big1.txt : 1}>
<equally , {input\big1.txt : 1}>
<establishment , {input\big1.txt : 1}>
<europe , {input\big1.txt : 3}>
<european , {input\big1.txt : 1}>
<even , {input\big1.txt : 3}>
<evening , {input\big1.txt : 1}>
<ever , {input\big1.txt : 3}>
<every , {input\big1.txt : 6}>
<evidently , {input\big1.txt : 2}>
<exactly , {input\big1.txt : 1}>
<exaggerated , {input\big1.txt : 1}>
<exalted , {input\big1.txt : 1}>
<examined , {input\big1.txt : 2}>
<example , {input\big1.txt : 1}>
<excellent , {input\big1.txt : 3}>
<except , {input\big1.txt : 1}>
<exchange , {input\big1.txt : 1}>
<excitedly , {input\big1.txt : 1}>
<excuse , {input\big1.txt : 1}>
<expected , {input\big1.txt : 2}>
<expenses , {input\big1.txt : 1}>
<experiences , {input\big1.txt : 1}>
<explain , {input\big1.txt : 1}>
<explained , {input\big1.txt : 1}>
<expostulating , {input\big1.txt : 1}>
<expression , {input\big1.txt : 1}>
<extended , {input\big1.txt : 1}>
<extending , {input\big1.txt : 1}>
<extraordinary , {input\big1.txt : 2}>
<extreme , {input\big1.txt : 1}>
<eye , {input\big1.txt : 1}>
<eyes , {input\big1.txt : 9}>
<face , {input\big1.txt : 8}>
<faced , {input\big1.txt : 1}>
<factor , {input\big1.txt : 2}>
<factories , {input\big1.txt : 1}>
<facts , {input\big1.txt : 3}>
<faculties , {input\big1.txt : 1}>
<fail , {input\big1.txt : 2}>
<failed , {input\big1.txt : 1}>
<failing , {input\big1.txt : 1}>
<fall , {input\big1.txt : 1}>
<false , {input\big1.txt : 1}>
<familiar , {input\big1.txt : 1}>
<families , {input\big1.txt : 1}>
<family , {input\big1.txt : 2}>
<fancy , {input\big1.txt : 1}>
<far , {input\big1.txt : 1}>
<fare , {input\big1.txt : 2}>
<fashion , {input\big1.txt : 1}>
<fast , {input\big1.txt : 1}>
<fasteners , {input\big1.txt : 1}>
<faster , {input\big1.txt : 1}>
<fear , {input\big1.txt : 1}>
<features , {input\big1.txt : 1}>
<feet , {input\big1.txt : 1}>
<felstein , {input\big1.txt : 1}>
<felt , {input\big1.txt : 1}>
<few , {input\big1.txt : 3}>
<field , {input\big1.txt : 1}>
<fierce , {input\big1.txt : 2}>
<fifty , {input\big1.txt : 1}>
<figure , {input\big1.txt : 3}>
<fills , {input\big1.txt : 1}>
<finally , {input\big1.txt : 1}>
<find , {input\big1.txt : 2}>
<finds , {input\big1.txt : 1}>
<fine , {input\big1.txt : 1}>
<finely , {input\big1.txt : 1}>
<fire , {input\big1.txt : 6}>
<firelight , {input\big1.txt : 1}>
<first , {input\big1.txt : 2}>
<fishes , {input\big1.txt : 1}>
<fists , {input\big1.txt : 1}>
<fitted , {input\big1.txt : 1}>
<five , {input\big1.txt : 8}>
<flame , {input\big1.txt : 1}>
<flaming , {input\big1.txt : 1}>
<flirting , {input\big1.txt : 1}>
<floor , {input\big1.txt : 1}>
<flurried , {input\big1.txt : 1}>
<flushed , {input\big1.txt : 1}>
<follow , {input\big1.txt : 4}>
<followed , {input\big1.txt : 2}>
<following , {input\big1.txt : 2}>
<food , {input\big1.txt : 1}>
<for , {input\big1.txt : 32}>
<forefinger , {input\big1.txt : 1}>
<forehead , {input\big1.txt : 1}>
<forgery , {input\big1.txt : 1}>
<form , {input\big1.txt : 1}>
<former , {input\big1.txt : 2}>
<formerly , {input\big1.txt : 1}>
<formidable , {input\big1.txt : 1}>
<fortunate , {input\big1.txt : 1}>
<forward , {input\big1.txt : 1}>
<found , {input\big1.txt : 7}>
<four , {input\big1.txt : 2}>
<freely , {input\big1.txt : 1}>
<freemasonry , {input\big1.txt : 1}>
<frenchman , {input\big1.txt : 1}>
<frequently , {input\big1.txt : 2}>
<fresh , {input\big1.txt : 1}>
<friend , {input\big1.txt : 5}>
<friends , {input\big1.txt : 1}>
<fro , {input\big1.txt : 1}>
<from , {input\big1.txt : 30}>
<front , {input\big1.txt : 7}>
<fronts , {input\big1.txt : 1}>
<funny , {input\big1.txt : 1}>
<fur , {input\big1.txt : 1}>
<furnish , {input\big1.txt : 1}>
<furnished , {input\big1.txt : 1}>
<garden , {input\big1.txt : 2}>
<gasogene , {input\big1.txt : 1}>
<gave , {input\big1.txt : 3}>
<gazetteer , {input\big1.txt : 1}>
<general , {input\big1.txt : 1}>
<generally , {input\big1.txt : 1}>
<gentleman , {input\big1.txt : 6}>
<gentlemans , {input\big1.txt : 1}>
<german , {input\big1.txt : 6}>
<gesellschaft , {input\big1.txt : 1}>
<gesture , {input\big1.txt : 1}>
<get , {input\big1.txt : 2}>
<getting , {input\big1.txt : 2}>
<gibe , {input\big1.txt : 1}>
<gigantic , {input\big1.txt : 1}>
<girl , {input\big1.txt : 2}>
<give , {input\big1.txt : 4}>
<given , {input\big1.txt : 1}>
<glad , {input\big1.txt : 1}>
<glance , {input\big1.txt : 1}>
<glanced , {input\big1.txt : 1}>
<glancing , {input\big1.txt : 1}>
<glass , {input\big1.txt : 3}>
<gleam , {input\big1.txt : 1}>
<glimpse , {input\big1.txt : 1}>
<glimpses , {input\big1.txt : 1}>
<go , {input\big1.txt : 4}>
<god , {input\big1.txt : 1}>
<godfrey , {input\big1.txt : 5}>
<goes , {input\big1.txt : 1}>
<gold , {input\big1.txt : 2}>
<good , {input\big1.txt : 10}>
<gottsreich , {input\big1.txt : 1}>
<grand , {input\big1.txt : 1}>
<grasp , {input\big1.txt : 1}>
<grating , {input\big1.txt : 1}>
<great , {input\big1.txt : 4}>
<grim , {input\big1.txt : 1}>
<grinder , {input\big1.txt : 2}>
<grit , {input\big1.txt : 1}>
<groom , {input\big1.txt : 2}>
<gross , {input\big1.txt : 1}>
<ground , {input\big1.txt : 2}>
<group , {input\big1.txt : 1}>
<grow , {input\big1.txt : 1}>
<guardianship , {input\big1.txt : 1}>
<guardsmen , {input\big1.txt : 3}>
<guess , {input\big1.txt : 1}>
<guinea , {input\big1.txt : 1}>
<guineas , {input\big1.txt : 1}>
<ha , {input\big1.txt : 3}>
<habit , {input\big1.txt : 1}>
<habits , {input\big1.txt : 1}>
<had , {input\big1.txt : 39}>
<hadnt , {input\big1.txt : 1}>
<half , {input\big1.txt : 11}>
<halfway , {input\big1.txt : 1}>
<hall , {input\big1.txt : 3}>
<hand , {input\big1.txt : 7}>
<handed , {input\big1.txt : 1}>
<hands , {input\big1.txt : 4}>
<handsome , {input\big1.txt : 2}>
<hanging , {input\big1.txt : 1}>
<hankeys , {input\big1.txt : 1}>
<hansom , {input\big1.txt : 1}>
<happiness , {input\big1.txt : 1}>
<hard , {input\big1.txt : 1}>
<hardly , {input\big1.txt : 3}>
<hare , {input\big1.txt : 1}>
<harness , {input\big1.txt : 2}>
<harsh , {input\big1.txt : 1}>
<has , {input\big1.txt : 18}>
<hat , {input\big1.txt : 3}>
<have , {input\big1.txt : 42}>
<having , {input\big1.txt : 2}>
<he , {input\big1.txt : 81}>
<he; , {input\big1.txt : 1}>
<head , {input\big1.txt : 2}>
<heads , {input\big1.txt : 1}>
<hear , {input\big1.txt : 2}>
<heard , {input\big1.txt : 6}>
<heartily , {input\big1.txt : 1}>
<heavy , {input\big1.txt : 4}>
<hebrew , {input\big1.txt : 1}>
<heels , {input\big1.txt : 1}>
<height , {input\big1.txt : 1}>
<help , {input\big1.txt : 4}>
<helpless , {input\big1.txt : 1}>
<hence , {input\big1.txt : 1}>
<her , {input\big1.txt : 31}>
<hercules , {input\big1.txt : 1}>
<here , {input\big1.txt : 3}>
<hereditary , {input\big1.txt : 2}>
<herself , {input\big1.txt : 1}>
<high , {input\big1.txt : 2}>
<him , {input\big1.txt : 13}>
<himself , {input\big1.txt : 5}>
<his , {input\big1.txt : 96}>
<history , {input\big1.txt : 1}>
<hold , {input\big1.txt : 1}>
<holland , {input\big1.txt : 1}>
<holmes , {input\big1.txt : 29}>
<home , {input\big1.txt : 4}>
<honour , {input\big1.txt : 2}>
<hoofs , {input\big1.txt : 1}>
<hope , {input\big1.txt : 2}>
<hopeless , {input\big1.txt : 1}>
<horses , {input\big1.txt : 3}>
<horsey , {input\big1.txt : 1}>
<hot , {input\big1.txt : 2}>
<hour , {input\big1.txt : 3}>
<hours , {input\big1.txt : 1}>
<house , {input\big1.txt : 12}>
<houses , {input\big1.txt : 1}>
<how , {input\big1.txt : 15}>
<however , {input\big1.txt : 5}>
<hum , {input\big1.txt : 3}>
<hundred , {input\big1.txt : 3}>
<hundreds , {input\big1.txt : 1}>
<hungrily , {input\big1.txt : 1}>
<hurled , {input\big1.txt : 1}>
<hurried , {input\big1.txt : 2}>
<hurry , {input\big1.txt : 1}>
<i; , {input\big1.txt : 1}>
<idler , {input\big1.txt : 1}>
<if , {input\big1.txt : 17}>
<ii , {input\big1.txt : 1}>
<ill , {input\big1.txt : 1}>
<imagine , {input\big1.txt : 3}>
<imitate , {input\big1.txt : 1}>
<imitated , {input\big1.txt : 1}>
<immediate , {input\big1.txt : 1}>
<immediately , {input\big1.txt : 1}>
<immense , {input\big1.txt : 2}>
<impatiently , {input\big1.txt : 1}>
<imperial , {input\big1.txt : 1}>
<implicates , {input\big1.txt : 1}>
<importance , {input\big1.txt : 4}>
<important , {input\big1.txt : 1}>
<impression , {input\big1.txt : 1}>
<in , {input\big1.txt : 115}>
<inches , {input\big1.txt : 1}>
<incidents , {input\big1.txt : 1}>
<incisive , {input\big1.txt : 2}>
<inclined , {input\big1.txt : 1}>
<incognito , {input\big1.txt : 1}>
<incorrigible , {input\big1.txt : 1}>
<increased , {input\big1.txt : 1}>
<indeed , {input\big1.txt : 9}>
<index , {input\big1.txt : 1}>
<indicated , {input\big1.txt : 1}>
<indirect , {input\big1.txt : 1}>
<indiscretion , {input\big1.txt : 1}>
<inextricable , {input\big1.txt : 1}>
<inflamed , {input\big1.txt : 1}>
<influence , {input\big1.txt : 2}>
<informality , {input\big1.txt : 1}>
<information , {input\big1.txt : 2}>
<informed , {input\big1.txt : 1}>
<injured , {input\big1.txt : 1}>
<inner , {input\big1.txt : 1}>
<inquiry , {input\big1.txt : 2}>
<insane , {input\big1.txt : 1}>
<insensibly , {input\big1.txt : 1}>
<inside , {input\big1.txt : 1}>
<insist , {input\big1.txt : 1}>
<instance , {input\big1.txt : 1}>
<instant , {input\big1.txt : 2}>
